Image,F1,Jaccard,Recall,Precision
833.png,0.9078838174273859,0.831306990881459,0.9630281690140845,0.858712715855573
2069.png,0.7885906040268457,0.6509695290858726,1.0,0.6509695290858726
3038.png,0.6849122807017545,0.5208110992529349,0.7601246105919003,0.6232439335887612
1169.png,0.943502824858757,0.893048128342246,0.8997844827586207,0.9916864608076009
501.png,0.9527439024390244,0.9097525473071325,0.9204712812960235,0.9873617693522907
31.png,0.9586016559337627,0.9204946996466431,0.9229406554472985,0.9971291866028709
2242.png,0.9192695819317636,0.8506002667852379,0.9219277108433735,0.9166267369429804
1014.png,0.940251572327044,0.887240356083086,0.887240356083086,1.0
1322.png,0.8901734104046244,0.8020833333333334,0.8148148148148148,0.9808917197452229
1779.png,0.8871181938911022,0.7971360381861575,0.8766404199475065,0.8978494623655914
1217.png,0.958813838550247,0.9208860759493671,0.9326923076923077,0.9864406779661017
1956.png,0.9116338207247298,0.8376168224299065,0.8376168224299065,1.0
108.png,0.9607412826139965,0.9244486156733928,0.9305621162021729,0.9929435483870968
1258.png,0.9590443686006825,0.921311475409836,0.95578231292517,0.9623287671232876
571.png,0.9722222222222222,0.9459459459459459,0.9577114427860697,0.9871794871794872
1888.png,0.6064981949458483,0.43523316062176165,0.4772727272727273,0.8316831683168316
35.png,0.9051724137931033,0.8267716535433071,0.8536585365853658,0.963302752293578
2162.png,0.9552192711550341,0.9142772686964233,0.9381255686988171,0.9729474677571563
2582.png,0.9443651925820256,0.8945945945945946,0.9575699132111861,0.9315196998123827
1279.png,0.0,0.0,0.0,0.0
749.png,0.8775545851528385,0.7818238406473701,0.9334819769602378,0.8279499011206328
2122.png,0.013172338090010977,0.0066298342541436465,0.007476635514018692,0.055299539170506916
2928.png,0.8363136176066025,0.7186761229314421,0.7691334598355472,0.9163526752072344
74.png,0.9755374351371386,0.9522431259044862,0.9824561403508771,0.9687154950312845
788.png,0.8903628560280922,0.8023909985935302,0.8105612124082406,0.9875937680323139
707.png,0.9772573744652105,0.9555261999119331,0.9696157283288651,0.9850204266908761
1678.png,0.9549019607843137,0.9136960600375235,0.960552268244576,0.949317738791423
909.png,0.872308834446919,0.7735352205398288,0.7735352205398288,1.0
218.png,0.8428701180744776,0.728414442700157,0.9747899159663865,0.7424
2046.png,0.8858311640014876,0.7950600801068091,0.8543758967001435,0.9196911196911197
3.png,0.9684170471841704,0.9387679822943563,0.9596530920060332,0.9773425499231951
1270.png,0.5902777777777778,0.4187192118226601,0.8018867924528302,0.46703296703296704
573.png,0.9607843137254901,0.9245283018867925,0.9763387297633873,0.9457177322074789
861.png,0.3310810810810811,0.19838056680161945,0.19838056680161945,1.0
2463.png,0.2786259541984733,0.16186252771618626,1.0,0.16186252771618626
1326.png,0.8567454798331016,0.7493917274939172,0.7567567567567568,0.9871794871794872
528.png,0.9580988117573483,0.9195678271308524,0.9922279792746114,0.9262394195888755
461.png,0.8974358974358975,0.813953488372093,0.9,0.8948863636363636
803.png,0.741827885256838,0.5896076352067868,0.6461359674607786,0.8707909162098669
1392.png,0.9569202566452796,0.9173989455184535,0.9473684210526315,0.9666666666666667
298.png,0.0,0.0,0.0,0.0
3005.png,0.8417596848325674,0.7267573696145124,0.9412628487518355,0.7612826603325415
1239.png,0.9307692307692308,0.8705035971223022,0.9260204081632653,0.9355670103092784
2839.png,0.0,0.0,0.0,0.0
2605.png,0.8199432892249527,0.6948338005606728,0.9869169510807736,0.7012934518997574
1529.png,0.9254545454545455,0.8612521150592216,0.967680608365019,0.8867595818815331
574.png,0.9574468085106382,0.9183673469387755,0.9957446808510638,0.9219858156028369
2574.png,0.9173188159237836,0.8472658705216844,0.9264604810996564,0.9083557951482479
1702.png,0.9169811320754717,0.8466898954703833,0.9878048780487805,0.8556338028169014
1732.png,0.7868001483129402,0.6485330073349633,0.9953095684803002,0.6505211526670754
1266.png,0.6984126984126985,0.5365853658536586,0.5365853658536586,1.0
1808.png,0.7458937198067633,0.5947611710323575,1.0,0.5947611710323575
1085.png,0.7828282828282829,0.6431535269709544,0.6485355648535565,0.9872611464968153
653.png,0.9812841923409157,0.963256076879593,0.9849710982658959,0.9776247848537005
2791.png,0.5508141493542952,0.38008523827973656,0.3820093457943925,0.9869215291750503
1187.png,0.9426596177307848,0.8915384615384615,0.8956723338485317,0.9948497854077253
2744.png,0.8180924287118978,0.6921797004991681,0.8612836438923396,0.7790262172284644
1023.png,0.9056379821958457,0.8275488069414316,0.8284473398479913,0.9986910994764397
1667.png,0.0,0.0,0.0,0.0
904.png,0.9631190727081138,0.9288617886178862,0.9902491874322861,0.9374358974358974
701.png,0.9501267962806423,0.9049919484702094,0.9190515126737531,0.9833770778652668
381.png,0.9150227617602428,0.8433566433566434,0.9663461538461539,0.8688760806916427
478.png,0.0,0.0,0.0,0.0
1354.png,0.9562943593574897,0.9162491052254832,0.9800918836140888,0.9336250911743253
2701.png,0.9660377358490567,0.9343065693430657,0.9443326626425218,0.9887640449438202
1689.png,0.8873974645786726,0.7975871313672922,0.8762886597938144,0.8987915407854985
2672.png,0.7273893521488134,0.5715725806451613,0.5746621621621621,0.9906814210832848
2524.png,0.6497386109036594,0.4811946902654867,0.7740213523131673,0.5598455598455598
2026.png,0.0,0.0,0.0,0.0
2356.png,0.9326292789512018,0.8737632207437734,0.9149696320114327,0.9509840326773116
527.png,0.9204025617566332,0.8525423728813559,0.9940711462450593,0.8568994889267462
1142.png,0.9176470588235295,0.8478260869565217,0.9915254237288136,0.8540145985401459
1562.png,0.8232044198895029,0.6995305164319249,0.9834983498349835,0.7078384798099763
1668.png,0.7640449438202247,0.6181818181818182,0.6263157894736842,0.9794238683127572
1837.png,0.959016393442623,0.9212598425196851,0.9855595667870036,0.9338654503990877
294.png,0.9536903039073805,0.9114799446749654,0.9191073919107392,0.9909774436090225
2157.png,0.541958041958042,0.37170263788968827,0.37170263788968827,1.0
2528.png,0.9297466701488639,0.8687164470473402,0.942297511911064,0.9175257731958762
2527.png,0.7942915392456676,0.6587757862698681,0.6612355736591989,0.9943848902501277
2075.png,0.8508393285371703,0.7404006677796328,0.8054483541430193,0.9016518424396442
2322.png,0.8571428571428571,0.75,0.7552941176470588,0.9907407407407407
3034.png,0.824326192121631,0.7011521279097108,0.7024734982332156,0.9973244147157191
1851.png,0.8337164750957855,0.7148488830486203,0.8217522658610272,0.8460342146189735
676.png,0.9641591177628989,0.9307984790874525,0.9357798165137615,0.9943135662063363
1818.png,0.8970747562296859,0.8133595284872298,0.9605568445475638,0.8414634146341463
2906.png,0.0,0.0,0.0,0.0
1840.png,0.8272251308900525,0.7053571428571429,1.0,0.7053571428571429
560.png,0.37873462214411246,0.23360433604336042,0.23360433604336042,1.0
1337.png,0.8989412897016361,0.8164335664335665,0.989406779661017,0.8236331569664903
1384.png,0.8033573141486811,0.6713426853707415,0.9882005899705014,0.6767676767676768
2936.png,0.9266547406082289,0.8633333333333333,0.9487179487179487,0.9055944055944056
1579.png,0.9531981279251169,0.910581222056632,0.9729299363057324,0.9342507645259939
678.png,0.9624300559552358,0.9275808936825886,0.9398907103825137,0.9860769860769861
555.png,0.9668246445497631,0.9357798165137615,0.9659090909090909,0.967741935483871
1885.png,0.8006932409012131,0.6676300578034682,0.9829787234042553,0.6754385964912281
2471.png,0.5020289855072463,0.3351393188854489,1.0,0.3351393188854489
1769.png,0.9612320764737121,0.9253578732106339,0.9378238341968912,0.985838779956427
1720.png,0.8768768768768769,0.7807486631016043,0.7978142076502732,0.9733333333333334
2465.png,0.7357604227833234,0.5819786344635393,0.998406374501992,0.5825197582519758
2255.png,0.45036829182742893,0.2906292440018108,0.29777365491651203,0.9237410071942446
1960.png,0.0,0.0,0.0,0.0
21.png,0.9554896142433235,0.9147727272727273,0.9857142857142858,0.927063339731286
26.png,0.0,0.0,0.0,0.0
2405.png,0.8986220472440946,0.8159070598748883,0.8383838383838383,0.968186638388123
335.png,0.8960396039603961,0.8116591928251121,0.8283752860411899,0.9757412398921833
893.png,0.9322033898305084,0.873015873015873,0.9799554565701559,0.8888888888888888
2606.png,0.8804165267047362,0.7863786378637864,0.8112039616217889,0.9625413147264047
11.png,0.9694828140057822,0.9407730673316709,0.9785992217898832,0.9605346912794398
2980.png,0.9374588545095457,0.8822800495662949,0.8922305764411027,0.9875173370319001
3011.png,0.0,0.0,0.0,0.0
717.png,0.7158182172810611,0.557411907654921,0.5658341042244835,0.9739915074309978
277.png,0.9857459613557175,0.9718925671455341,0.9810844892812106,0.9904519414385742
2979.png,0.9365791159513132,0.880722891566265,0.9069478908188585,0.9682119205298013
2275.png,0.8950853956082259,0.8100946372239748,0.8126582278481013,0.9961210240496509
1866.png,0.5649458784346377,0.39367565999419785,0.39367565999419785,1.0
1344.png,0.9339933993399341,0.8761609907120743,0.9188311688311688,0.9496644295302014
2137.png,0.635885447106955,0.4661525278491859,0.4661525278491859,1.0
2072.png,0.8045222465353755,0.6729713239780354,0.9100660066006601,0.7209150326797386
1137.png,0.9275634995296332,0.8649122807017544,0.8694885361552028,0.9939516129032258
1906.png,0.954002541296061,0.9120505344995141,0.9765868886576483,0.9324391455538996
1495.png,0.9550827423167848,0.9140271493212669,0.9483568075117371,0.9619047619047619
694.png,0.8554412560909584,0.7473982970671712,0.8997722095671982,0.8152734778121775
336.png,0.9659863945578232,0.9342105263157895,0.9458259325044405,0.9870250231696015
1560.png,0.95092693565976,0.9064449064449065,0.9797752808988764,0.923728813559322
1546.png,0.9431929480901077,0.8924930491195552,0.9968944099378882,0.8949814126394052
1969.png,0.7524575513851653,0.6031518624641834,0.9859484777517564,0.6083815028901735
2459.png,0.9515865227347072,0.9076443057722309,0.934468358496627,0.9693435521492836
587.png,0.9710656316160904,0.943758573388203,0.9568845618915159,0.9856733524355301
2662.png,0.7447584320875112,0.5933188090050835,0.6520351157222666,0.8682252922422954
2930.png,0.8416988416988417,0.7266666666666667,0.992914979757085,0.7304542069992555
943.png,0.9551515151515151,0.91415313225058,0.9563106796116505,0.9539951573849879
1794.png,0.9079754601226994,0.8314606741573034,0.8361581920903954,0.9932885906040269
