epoch,accuracy,dice_coef,loss,lr,val_accuracy,val_dice_coef,val_loss
0,0.8285177946090698,0.12465551495552063,0.8753443956375122,1e-04,0.8297760486602783,0.023876436054706573,0.9760938882827759
1,0.9667900204658508,0.2282159924507141,0.7717841267585754,1e-04,0.6258722543716431,0.015849590301513672,0.9841660857200623
2,0.9783976674079895,0.30826008319854736,0.6917399764060974,1e-04,0.6223248243331909,0.019481433555483818,0.980367124080658
3,0.9843716025352478,0.3980778753757477,0.6019220948219299,1e-04,0.8739126324653625,0.14266303181648254,0.8579261898994446
4,0.9875190854072571,0.48072248697280884,0.5192775130271912,1e-04,0.9624057412147522,0.2940383851528168,0.707115888595581
5,0.9895455837249756,0.5582411289215088,0.4417588710784912,1e-04,0.9888271689414978,0.5348192453384399,0.4654272794723511
6,0.9907823204994202,0.6204517483711243,0.3795482814311981,1e-04,0.9908589720726013,0.5717187523841858,0.42740437388420105
7,0.9917855262756348,0.6721542477607727,0.32784581184387207,1e-04,0.9803876876831055,0.5368239283561707,0.4654076397418976
8,0.9923914074897766,0.7098888754844666,0.2901109457015991,1e-04,0.9908372759819031,0.6866161227226257,0.31431668996810913
9,0.992935299873352,0.7388975620269775,0.26110249757766724,1e-04,0.9911046028137207,0.6759415864944458,0.32191601395606995
10,0.9931190609931946,0.756734311580658,0.243265762925148,1e-04,0.9888905882835388,0.5723598599433899,0.4233994781970978
11,0.9934467673301697,0.775600790977478,0.22439917922019958,1e-04,0.9904276728630066,0.6791195869445801,0.3197988271713257
12,0.9940034747123718,0.7989505529403687,0.20104925334453583,1e-04,0.9915807247161865,0.7307578325271606,0.26800721883773804
13,0.9943513870239258,0.8145354986190796,0.18546432256698608,1e-04,0.9914901852607727,0.7094619274139404,0.29036882519721985
14,0.9942509531974792,0.8165161609649658,0.18348395824432373,1e-04,0.9915424585342407,0.738042950630188,0.26199495792388916
15,0.9948309063911438,0.8380841016769409,0.16191595792770386,1e-04,0.9919748902320862,0.7283933758735657,0.2697348892688751
16,0.9951682686805725,0.8510887622833252,0.14891129732131958,1e-04,0.9920915365219116,0.7362575531005859,0.2637253701686859
17,0.9954935312271118,0.8635512590408325,0.13644905388355255,1e-04,0.9928852319717407,0.7914835810661316,0.21072880923748016
18,0.9956759214401245,0.8713354468345642,0.12866419553756714,1e-04,0.9926420450210571,0.7739245295524597,0.2280419021844864
19,0.9956110119819641,0.8716229200363159,0.1283770054578781,1e-04,0.9911790490150452,0.7290886640548706,0.2709893584251404
20,0.9954976439476013,0.8701680302619934,0.1298322081565857,1e-04,0.9921551942825317,0.7455883026123047,0.25304678082466125
21,0.9958363175392151,0.8813273310661316,0.11867271363735199,1e-04,0.9928205013275146,0.7741661667823792,0.22469404339790344
22,0.9960070848464966,0.8880108594894409,0.11198902875185013,1e-04,0.9925702810287476,0.7796097993850708,0.21993829309940338
23,0.9962310194969177,0.8955883383750916,0.10441160947084427,1e-05,0.9935654997825623,0.8078636527061462,0.1907159388065338
24,0.9965142011642456,0.9041974544525146,0.09580257534980774,1e-05,0.9936206340789795,0.8103213906288147,0.18828897178173065
25,0.9966112971305847,0.907218337059021,0.09278177469968796,1e-05,0.9936518669128418,0.8117904663085938,0.1870025247335434
26,0.9966829419136047,0.9094793200492859,0.09052053838968277,1e-05,0.9936414957046509,0.8117333650588989,0.1871236264705658
27,0.9967405200004578,0.9113284349441528,0.08867146074771881,1e-05,0.9936287999153137,0.810916006565094,0.18790602684020996
28,0.9967887997627258,0.9129030108451843,0.08709689974784851,1e-05,0.9936264157295227,0.8106656670570374,0.18819336593151093
29,0.9968374371528625,0.9144750237464905,0.08552480489015579,1e-05,0.9936018586158752,0.8096215724945068,0.18928328156471252
30,0.9968845248222351,0.9160234332084656,0.08397667109966278,1e-05,0.9936147332191467,0.8099198937416077,0.18887092173099518
31,0.9969238042831421,0.9175588488578796,0.08244112133979797,1e-06,0.9936197400093079,0.8077549338340759,0.19090400636196136
32,0.9969443678855896,0.9180055260658264,0.08199465274810791,1e-06,0.9936320185661316,0.8083906769752502,0.19028308987617493
33,0.9969533681869507,0.9183194637298584,0.08168049156665802,1e-06,0.9936286211013794,0.8082038164138794,0.190475732088089
34,0.9969606399536133,0.9185352921485901,0.08146443217992783,1e-06,0.9936237931251526,0.8079961538314819,0.19068226218223572
35,0.9969672560691833,0.9187488555908203,0.08125107735395432,1e-06,0.9936197400093079,0.8078492879867554,0.1908285915851593
36,0.9969789981842041,0.9190254807472229,0.08097440749406815,1e-07,0.9936226010322571,0.8081361651420593,0.19055698812007904
37,0.996979296207428,0.9190586805343628,0.08094124495983124,1e-07,0.9936231970787048,0.8082827925682068,0.19041772186756134
38,0.9969794154167175,0.9190860986709595,0.08091377466917038,1e-07,0.9936237931251526,0.8083666563034058,0.1903376579284668
39,0.996979832649231,0.9191112518310547,0.08088869601488113,1e-07,0.9936236143112183,0.8084161281585693,0.19029036164283752
40,0.9969807267189026,0.9191354513168335,0.08086448907852173,1e-07,0.993624210357666,0.8084443211555481,0.19026370346546173
41,0.9969810247421265,0.9191595315933228,0.08084045350551605,1e-07,0.9936244487762451,0.8084580898284912,0.1902506798505783
42,0.9969817399978638,0.9191834926605225,0.08081623911857605,1e-07,0.993624210357666,0.8084632158279419,0.19024606049060822
43,0.9969826340675354,0.919208288192749,0.08079171925783157,1e-07,0.9936245083808899,0.8084625601768494,0.19024714827537537
44,0.9969836473464966,0.9192331433296204,0.08076679706573486,1e-07,0.9936240315437317,0.8084579706192017,0.19025203585624695
45,0.9969839453697205,0.919258713722229,0.08074138313531876,1e-07,0.9936236143112183,0.8084501028060913,0.19026006758213043
